DATE,INCOME
1989-01-01,43417
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,48044
1994-01-01,.
1995-01-01,50957
1996-01-01,.
1997-01-01,57267
1998-01-01,59771
1999-01-01,64694
2000-01-01,70492
2001-01-01,69984
2002-01-01,67440
2003-01-01,65110
2004-01-01,65425
2005-01-01,74286
2006-01-01,77717
2007-01-01,82913
2008-01-01,84879
2009-01-01,84678
2010-01-01,82413
2011-01-01,81378
2012-01-01,81568
2013-01-01,91061
2014-01-01,100806
2015-01-01,101133
2016-01-01,107075
2017-01-01,115908
2018-01-01,122930
2019-01-01,135234
2020-01-01,132369
